date,sales
2022-11-16,27.43
2022-11-17,33.39
2022-11-18,33.91
2022-11-19,26.83
2022-11-20,29.77
2022-11-21,26.7
2022-11-22,26.51
2022-11-23,28.91
2022-11-24,34.28
2022-11-27,27.85
2022-11-28,27.0
2022-11-29,28.0
2022-11-30,27.27
2022-12-01,34.65
2022-12-02,33.56
2022-12-03,27.21
2022-12-04,27.74
2022-12-05,28.5
2022-12-06,27.55
2022-12-07,27.32
2022-12-08,34.11
2022-12-09,34.14
2022-12-10,27.72
2022-12-11,27.78
2022-12-12,28.51
2022-12-13,26.86
2022-12-14,26.93
2022-12-15,33.34
2022-12-16,33.87
2022-12-17,28.73
2022-12-18,29.92
2022-12-19,29.33
2022-12-20,28.34
2022-12-21,28.51
2022-12-22,33.25
2022-12-23,34.26
2022-12-24,28.32
2022-12-27,29.21
2022-12-28,30.25
2022-12-29,34.34
2022-12-30,34.87
2022-12-31,29.49
